Unnamed: 0,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Student ID_category,Well versed with the subject_category,Explains concepts in an understandable way_category,Use of presentations_category,Degree of difficulty of assignments_category,Solves doubts willingly_category,Structuring of the course_category,Provides support for students going above and beyond_category,Course recommendation based on relevance_category
48,621,10,4,5,1,5,10,1,10,High,High,Low,Medium,Low,Medium,High,Low,High
49,568,10,7,4,6,10,8,10,8,High,High,Medium,Low,Medium,High,High,High,High
50,393,6,9,8,7,5,8,1,4,High,Medium,High,High,Medium,Medium,High,Low,Low
51,12,8,10,7,2,8,9,6,6,High,High,High,Medium,Low,High,High,Medium,Medium
52,798,7,2,8,7,10,5,3,5,High,Medium,Low,High,Medium,High,Medium,Low,Medium
53,740,8,10,7,3,2,10,10,1,High,High,High,Medium,Low,Low,High,High,Low
54,184,10,9,8,6,4,8,8,9,High,High,High,High,Medium,Low,High,High,High
55,410,7,2,5,2,6,6,3,10,High,Medium,Low,Medium,Low,Medium,Medium,Low,High
56,480,10,6,7,8,5,3,1,5,High,High,Medium,Medium,High,Medium,Low,Low,Medium
57,84,7,4,6,10,7,7,8,9,High,Medium,Low,Medium,High,Medium,Medium,High,High
58,89,9,9,4,5,1,2,3,9,High,High,High,Low,Medium,Low,Low,Low,High
59,763,6,9,6,7,6,10,2,5,High,Medium,High,Medium,Medium,Medium,High,Low,Medium
60,86,7,8,6,8,3,10,2,7,High,Medium,High,Medium,High,Low,High,Low,Medium
61,867,6,4,6,4,2,7,5,3,High,Medium,Low,Medium,Low,Low,Medium,Medium,Low
62,248,6,6,4,6,6,6,2,3,High,Medium,Medium,Low,Medium,Medium,Medium,Low,Low
63,751,7,3,8,10,2,7,2,6,High,Medium,Low,High,High,Low,Medium,Low,Medium
64,522,6,9,8,10,9,5,3,6,High,Medium,High,High,High,High,Medium,Low,Medium
65,696,5,5,4,9,3,1,8,6,High,Medium,Medium,Low,High,Low,Low,High,Medium
66,274,8,2,4,7,10,8,5,8,High,High,Low,Low,Medium,High,High,Medium,High
67,921,9,7,5,10,10,9,6,4,High,High,Medium,Medium,High,High,High,Medium,Low
68,957,6,2,7,8,5,9,5,4,High,Medium,Low,Medium,High,Medium,High,Medium,Low
69,88,9,4,4,9,9,9,7,10,High,High,Low,Low,High,High,High,Medium,High
70,149,5,6,5,1,8,9,7,8,High,Medium,Medium,Medium,Low,High,High,Medium,High
71,737,7,9,4,5,5,2,2,1,High,Medium,High,Low,Medium,Medium,Low,Low,Low
72,891,7,2,4,9,6,9,7,9,High,Medium,Low,Low,High,Medium,High,Medium,High
73,1,9,6,8,7,6,5,3,10,Low,High,Medium,High,Medium,Medium,Medium,Low,High
74,868,7,9,7,2,6,2,9,4,High,Medium,High,Medium,Low,Medium,Low,High,Low
75,895,5,5,7,7,2,1,8,9,High,Medium,Medium,Medium,Medium,Low,Low,High,High
76,638,9,10,8,2,1,1,4,8,High,High,High,High,Low,Low,Low,Low,High
77,707,5,6,6,5,1,9,6,9,High,Medium,Medium,Medium,Medium,Low,High,Medium,High
78,432,9,9,6,8,2,3,2,4,High,High,High,Medium,High,Low,Low,Low,Low
79,988,7,4,6,7,6,9,7,1,High,Medium,Low,Medium,Medium,Medium,High,Medium,Low
80,742,7,7,8,2,1,1,8,1,High,Medium,Medium,High,Low,Low,Low,High,Low
81,730,6,5,4,5,6,6,7,2,High,Medium,Medium,Low,Medium,Medium,Medium,Medium,Low
82,321,5,7,6,2,3,5,3,5,High,Medium,Medium,Medium,Low,Low,Medium,Low,Medium
83,904,8,5,8,9,7,9,8,6,High,High,Medium,High,High,Medium,High,High,Medium
84,171,6,10,4,6,1,6,2,3,High,Medium,High,Low,Medium,Low,Medium,Low,Low
85,695,10,4,4,1,5,8,7,1,High,High,Low,Low,Low,Medium,High,Medium,Low
86,498,8,5,4,5,10,7,1,10,High,High,Medium,Low,Medium,High,Medium,Low,High
87,446,7,8,5,10,10,2,5,9,High,Medium,High,Medium,High,High,Low,Medium,High
88,982,9,10,7,5,6,6,1,5,High,High,High,Medium,Medium,Medium,Medium,Low,Medium
89,981,7,6,7,5,4,6,8,3,High,Medium,Medium,Medium,Medium,Low,Medium,High,Low
90,849,6,10,6,7,7,4,10,7,High,Medium,High,Medium,Medium,Medium,Low,High,Medium
91,297,7,10,6,8,10,10,2,8,High,Medium,High,Medium,High,High,High,Low,High
92,713,8,6,7,5,2,7,10,8,High,High,Medium,Medium,Medium,Low,Medium,High,High
93,192,8,4,8,6,3,5,1,5,High,High,Low,High,Medium,Low,Medium,Low,Medium
94,561,9,6,4,8,6,8,3,3,High,High,Medium,Low,High,Medium,High,Low,Low
95,364,6,6,7,9,6,4,7,6,High,Medium,Medium,Medium,High,Medium,Low,Medium,Medium
96,40,6,7,5,6,10,5,6,3,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Low
97,521,5,9,4,2,1,8,3,7,High,Medium,High,Low,Low,Low,High,Low,Medium
98,201,8,2,8,9,8,8,9,4,High,High,Low,High,High,High,High,High,Low
99,780,6,4,4,10,6,5,6,8,High,Medium,Low,Low,High,Medium,Medium,Medium,High
100,853,7,9,4,8,9,4,10,2,High,Medium,High,Low,High,High,Low,High,Low
101,202,5,6,6,10,3,4,2,8,High,Medium,Medium,Medium,High,Low,Low,Low,High
102,421,6,3,8,10,6,8,7,9,High,Medium,Low,High,High,Medium,High,Medium,High
103,671,9,8,6,10,10,7,7,8,High,High,High,Medium,High,High,Medium,Medium,High
104,334,5,9,4,3,8,10,4,2,High,Medium,High,Low,Low,High,High,Low,Low
105,843,6,8,5,4,5,5,10,6,High,Medium,High,Medium,Low,Medium,Medium,High,Medium
106,57,10,7,6,10,4,4,2,4,High,High,Medium,Medium,High,Low,Low,Low,Low
107,353,6,7,5,3,6,6,7,5,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium
108,681,7,2,7,5,2,1,3,7,High,Medium,Low,Medium,Medium,Low,Low,Low,Medium
109,394,6,3,6,10,7,4,3,3,High,Medium,Low,Medium,High,Medium,Low,Low,Low
110,188,7,6,8,9,9,8,9,10,High,Medium,Medium,High,High,High,High,High,High
111,641,5,10,6,7,4,2,5,4,High,Medium,High,Medium,Medium,Low,Low,Medium,Low
112,544,10,7,8,4,6,5,7,8,High,High,Medium,High,Low,Medium,Medium,Medium,High
113,163,9,3,4,7,3,8,6,8,High,High,Low,Low,Medium,Low,High,Medium,High
114,283,9,2,6,1,2,10,5,5,High,High,Low,Medium,Low,Low,High,Medium,Medium
115,820,6,5,4,9,2,5,10,7,High,Medium,Medium,Low,High,Low,Medium,High,Medium
116,254,6,6,6,8,9,4,4,8,High,Medium,Medium,Medium,High,High,Low,Low,High
117,221,9,6,8,1,8,2,5,6,High,High,Medium,High,Low,High,Low,Medium,Medium
118,736,8,2,8,8,2,6,5,4,High,High,Low,High,High,Low,Medium,Medium,Low
119,280,9,10,4,7,7,3,5,4,High,High,High,Low,Medium,Medium,Low,Medium,Low
120,976,5,2,5,5,7,9,4,3,High,Medium,Low,Medium,Medium,Medium,High,Low,Low
121,481,9,10,8,9,1,3,1,9,High,High,High,High,High,Low,Low,Low,High
122,80,7,6,4,1,5,6,1,8,High,Medium,Medium,Low,Low,Medium,Medium,Low,High
123,473,10,10,7,5,2,6,10,5,High,High,High,Medium,Medium,Low,Medium,High,Medium
124,762,10,7,5,7,8,9,3,4,High,High,Medium,Medium,Medium,High,High,Low,Low
125,385,5,2,6,7,3,2,10,1,High,Medium,Low,Medium,Medium,Low,Low,High,Low
126,195,9,7,5,5,10,10,5,1,High,High,Medium,Medium,Medium,High,High,Medium,Low
127,144,8,6,5,6,3,8,2,6,High,High,Medium,Medium,Medium,Low,High,Low,Medium
128,767,10,10,8,3,9,6,4,8,High,High,High,High,Low,High,Medium,Low,High
129,300,6,8,4,5,5,9,5,4,High,Medium,High,Low,Medium,Medium,High,Medium,Low
130,580,5,2,5,8,6,5,4,9,High,Medium,Low,Medium,High,Medium,Medium,Low,High
131,216,5,9,8,2,4,8,9,10,High,Medium,High,High,Low,Low,High,High,High
132,583,9,3,4,6,5,3,8,7,High,High,Low,Low,Medium,Medium,Low,High,Medium
133,881,7,9,5,9,4,5,4,8,High,Medium,High,Medium,High,Low,Medium,Low,High
134,488,8,8,6,9,7,4,6,1,High,High,High,Medium,High,Medium,Low,Medium,Low
135,892,5,8,8,9,6,9,10,6,High,Medium,High,High,High,Medium,High,High,Medium
136,152,7,2,5,1,5,10,5,6,High,Medium,Low,Medium,Low,Medium,High,Medium,Medium
137,925,7,10,6,7,9,10,1,3,High,Medium,High,Medium,Medium,High,High,Low,Low
138,729,9,9,8,7,5,4,5,5,High,High,High,High,Medium,Medium,Low,Medium,Medium
139,647,5,5,8,8,9,6,9,8,High,Medium,Medium,High,High,High,Medium,High,High
140,686,8,6,5,5,2,6,5,8,High,High,Medium,Medium,Medium,Low,Medium,Medium,High
141,93,9,10,6,4,9,6,7,8,High,High,High,Medium,Low,High,Medium,Medium,High
142,485,8,4,7,1,4,7,1,4,High,High,Low,Medium,Low,Low,Medium,Low,Low
143,59,5,8,5,6,10,3,4,10,High,Medium,High,Medium,Medium,High,Low,Low,High
144,907,10,4,7,6,1,2,5,1,High,High,Low,Medium,Medium,Low,Low,Medium,Low
145,158,10,6,5,6,2,10,3,8,High,High,Medium,Medium,Medium,Low,High,Low,High
146,955,10,4,4,1,10,1,10,10,High,High,Low,Low,Low,High,Low,High,High
147,758,8,3,7,7,9,6,7,5,High,High,Low,Medium,Medium,High,Medium,Medium,Medium
148,605,6,4,4,4,7,5,5,2,High,Medium,Low,Low,Low,Medium,Medium,Medium,Low
149,475,10,6,4,9,3,1,6,7,High,High,Medium,Low,High,Low,Low,Medium,Medium
150,154,9,7,4,8,2,6,3,9,High,High,Medium,Low,High,Low,Medium,Low,High
151,79,6,4,6,6,6,4,9,10,High,Medium,Low,Medium,Medium,Medium,Low,High,High
152,36,10,6,5,2,1,9,9,6,High,High,Medium,Medium,Low,Low,High,High,Medium
153,562,6,3,6,7,8,7,4,1,High,Medium,Low,Medium,Medium,High,Medium,Low,Low
154,231,10,7,8,1,3,3,3,3,High,High,Medium,High,Low,Low,Low,Low,Low
155,869,8,7,6,2,9,4,1,7,High,High,Medium,Medium,Low,High,Low,Low,Medium
156,608,7,4,6,5,4,7,8,7,High,Medium,Low,Medium,Medium,Low,Medium,High,Medium
157,846,10,7,7,4,7,10,7,1,High,High,Medium,Medium,Low,Medium,High,Medium,Low
158,542,10,4,7,7,2,2,5,9,High,High,Low,Medium,Medium,Low,Low,Medium,High
159,941,9,3,7,2,9,7,3,1,High,High,Low,Medium,Low,High,Medium,Low,Low
160,919,10,2,8,5,6,3,8,5,High,High,Low,High,Medium,Medium,Low,High,Medium
161,352,6,2,6,3,5,3,8,6,High,Medium,Low,Medium,Low,Medium,Low,High,Medium
162,839,9,2,5,10,4,4,9,1,High,High,Low,Medium,High,Low,Low,High,Low
163,266,8,8,5,6,6,8,2,2,High,High,High,Medium,Medium,Medium,High,Low,Low
164,298,8,4,8,9,7,1,7,3,High,High,Low,High,High,Medium,Low,Medium,Low
165,929,10,2,6,1,1,9,9,7,High,High,Low,Medium,Low,Low,High,High,Medium
166,574,6,4,8,5,9,5,7,10,High,Medium,Low,High,Medium,High,Medium,Medium,High
167,250,5,7,7,3,1,6,3,1,High,Medium,Medium,Medium,Low,Low,Medium,Low,Low
168,616,9,8,6,9,6,3,5,8,High,High,High,Medium,High,Medium,Low,Medium,High
169,164,8,5,7,10,8,9,10,1,High,High,Medium,Medium,High,High,High,High,Low
170,827,6,3,4,9,7,8,7,6,High,Medium,Low,Low,High,Medium,High,Medium,Medium
171,228,7,6,6,1,6,6,6,9,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,High
172,787,10,10,5,10,1,9,3,8,High,High,High,Medium,High,Low,High,Low,High
173,317,8,8,4,1,10,10,9,1,High,High,High,Low,Low,High,High,High,Low
174,110,9,6,4,1,4,7,9,5,High,High,Medium,Low,Low,Low,Medium,High,Medium
175,165,6,2,6,2,2,10,2,2,High,Medium,Low,Medium,Low,Low,High,Low,Low
176,701,5,9,7,1,9,9,1,9,High,Medium,High,Medium,Low,High,High,Low,High
177,362,7,9,6,7,4,8,1,2,High,Medium,High,Medium,Medium,Low,High,Low,Low
178,890,8,7,5,3,9,1,4,5,High,High,Medium,Medium,Low,High,Low,Low,Medium
179,728,10,9,4,8,5,2,3,10,High,High,High,Low,High,Medium,Low,Low,High
180,466,9,8,5,5,6,2,10,4,High,High,High,Medium,Medium,Medium,Low,High,Low
181,709,9,3,6,4,4,8,10,1,High,High,Low,Medium,Low,Low,High,High,Low
182,482,10,3,4,3,10,1,8,5,High,High,Low,Low,Low,High,Low,High,Medium
183,406,9,10,6,1,6,1,9,2,High,High,High,Medium,Low,Medium,Low,High,Low
184,66,8,5,8,7,6,1,9,9,High,High,Medium,High,Medium,Medium,Low,High,High
185,862,6,5,6,5,7,2,10,8,High,Medium,Medium,Medium,Medium,Medium,Low,High,High
186,61,9,8,6,5,3,10,6,6,High,High,High,Medium,Medium,Low,High,Medium,Medium
187,111,7,9,7,1,10,10,3,10,High,Medium,High,Medium,Low,High,High,Low,High
188,147,6,8,4,6,9,6,8,7,High,Medium,High,Low,Medium,High,Medium,High,Medium
189,211,7,4,4,3,7,8,7,10,High,Medium,Low,Low,Low,Medium,High,Medium,High
190,996,6,5,6,10,8,7,8,4,High,Medium,Medium,Medium,High,High,Medium,High,Low
191,459,8,5,8,6,6,1,8,4,High,High,Medium,High,Medium,Medium,Low,High,Low
192,81,5,5,6,5,7,3,9,5,High,Medium,Medium,Medium,Medium,Medium,Low,High,Medium
193,288,5,9,6,9,4,4,2,6,High,Medium,High,Medium,High,Low,Low,Low,Medium
194,6,7,10,8,3,3,4,1,2,Medium,Medium,High,High,Low,Low,Low,Low,Low
195,547,6,6,8,5,1,2,2,8,High,Medium,Medium,High,Medium,Low,Low,Low,High
196,30,6,2,7,5,1,10,9,10,High,Medium,Low,Medium,Medium,Low,High,High,High
197,445,9,4,4,2,4,8,1,6,High,High,Low,Low,Low,Low,High,Low,Medium
198,591,6,9,8,5,10,6,2,10,High,Medium,High,High,Medium,High,Medium,Low,High
199,770,10,10,5,7,10,7,7,10,High,High,High,Medium,Medium,High,Medium,Medium,High
200,484,9,6,8,10,3,2,8,4,High,High,Medium,High,High,Low,Low,High,Low
201,180,8,4,4,1,6,9,6,1,High,High,Low,Low,Low,Medium,High,Medium,Low
202,946,5,5,5,6,1,3,10,5,High,Medium,Medium,Medium,Medium,Low,Low,High,Medium
203,901,9,8,6,1,2,9,8,2,High,High,High,Medium,Low,Low,High,High,Low
204,517,10,5,7,7,5,10,6,5,High,High,Medium,Medium,Medium,Medium,High,Medium,Medium
205,545,9,4,8,1,8,6,2,4,High,High,Low,High,Low,High,Medium,Low,Low
206,918,8,3,8,9,9,1,6,1,High,High,Low,High,High,High,Low,Medium,Low
207,652,8,3,4,8,3,2,2,3,High,High,Low,Low,High,Low,Low,Low,Low
208,471,10,10,4,8,2,2,4,7,High,High,High,Low,High,Low,Low,Low,Medium
209,323,6,8,7,5,4,1,9,3,High,Medium,High,Medium,Medium,Low,Low,High,Low
210,276,8,5,7,9,1,10,1,2,High,High,Medium,Medium,High,Low,High,Low,Low
211,672,7,8,5,6,5,10,5,10,High,Medium,High,Medium,Medium,Medium,High,Medium,High
212,337,10,7,6,8,9,5,1,1,High,High,Medium,Medium,High,High,Medium,Low,Low
213,468,7,7,8,4,2,1,5,10,High,Medium,Medium,High,Low,Low,Low,Medium,High
214,380,8,8,4,8,2,4,9,2,High,High,High,Low,High,Low,Low,High,Low
215,755,9,8,7,2,9,6,3,7,High,High,High,Medium,Low,High,Medium,Low,Medium
216,267,8,9,4,4,8,4,8,1,High,High,High,Low,Low,High,Low,High,Low
217,598,9,3,4,9,3,4,5,1,High,High,Low,Low,High,Low,Low,Medium,Low
218,128,6,2,6,1,9,3,9,2,High,Medium,Low,Medium,Low,High,Low,High,Low
219,444,8,2,6,10,7,2,4,8,High,High,Low,Medium,High,Medium,Low,Low,High
220,572,6,5,4,4,8,6,8,9,High,Medium,Medium,Low,Low,High,Medium,High,High
221,319,8,3,6,6,7,10,8,4,High,High,Low,Medium,Medium,Medium,High,High,Low
222,390,8,6,7,5,1,4,3,9,High,High,Medium,Medium,Medium,Low,Low,Low,High
223,176,10,2,6,7,4,10,1,3,High,High,Low,Medium,Medium,Low,High,Low,Low
224,883,7,4,4,2,8,6,7,4,High,Medium,Low,Low,Low,High,Medium,Medium,Low
225,831,5,2,8,3,5,10,7,7,High,Medium,Low,High,Low,Medium,High,Medium,Medium
226,220,10,5,8,7,9,7,2,7,High,High,Medium,High,Medium,High,Medium,Low,Medium
227,17,7,6,5,3,9,5,5,2,High,Medium,Medium,Medium,Low,High,Medium,Medium,Low
228,938,10,10,6,5,2,9,9,9,High,High,High,Medium,Medium,Low,High,High,High
229,651,8,7,6,3,9,10,6,1,High,High,Medium,Medium,Low,High,High,Medium,Low
230,953,5,10,8,10,6,4,6,4,High,Medium,High,High,High,Medium,Low,Medium,Low
231,902,5,8,6,10,4,5,5,9,High,Medium,High,Medium,High,Low,Medium,Medium,High
232,167,7,7,5,8,6,9,9,8,High,Medium,Medium,Medium,High,Medium,High,High,High
233,669,9,3,4,5,2,2,1,6,High,High,Low,Low,Medium,Low,Low,Low,Medium
234,859,8,3,5,9,10,3,1,6,High,High,Low,Medium,High,High,Low,Low,Medium
235,120,8,4,7,5,4,4,10,6,High,High,Low,Medium,Medium,Low,Low,High,Medium
236,293,10,4,7,1,6,7,7,4,High,High,Low,Medium,Low,Medium,Medium,Medium,Low
237,789,10,2,8,7,9,8,1,4,High,High,Low,High,Medium,High,High,Low,Low
238,182,5,2,7,2,3,6,1,9,High,Medium,Low,Medium,Low,Low,Medium,Low,High
239,369,10,5,4,4,3,7,4,10,High,High,Medium,Low,Low,Low,Medium,Low,High
240,207,6,8,6,7,9,7,2,5,High,Medium,High,Medium,Medium,High,Medium,Low,Medium
241,842,10,7,5,3,3,6,4,6,High,High,Medium,Medium,Low,Low,Medium,Low,Medium
242,38,5,8,7,6,10,8,9,5,High,Medium,High,Medium,Medium,High,High,High,Medium
243,495,5,4,7,9,6,10,5,9,High,Medium,Low,Medium,High,Medium,High,Medium,High
244,942,10,6,8,3,7,8,4,5,High,High,Medium,High,Low,Medium,High,Low,Medium
245,752,10,7,4,4,4,9,10,7,High,High,Medium,Low,Low,Low,High,High,Medium
246,940,7,3,6,9,10,8,3,5,High,Medium,Low,Medium,High,High,High,Low,Medium
247,648,5,7,7,9,6,3,10,3,High,Medium,Medium,Medium,High,Medium,Low,High,Low
248,125,6,2,4,5,9,7,7,7,High,Medium,Low,Low,Medium,High,Medium,Medium,Medium
249,516,10,2,8,9,2,3,3,1,High,High,Low,High,High,Low,Low,Low,Low
250,963,9,6,4,5,3,3,6,6,High,High,Medium,Low,Medium,Low,Low,Medium,Medium
251,215,5,6,6,2,1,9,5,8,High,Medium,Medium,Medium,Low,Low,High,Medium,High
252,823,7,5,8,3,4,3,1,10,High,Medium,Medium,High,Low,Low,Low,Low,High
253,840,5,7,5,6,9,9,10,6,High,Medium,Medium,Medium,Medium,High,High,High,Medium
254,429,8,3,5,1,8,1,8,9,High,High,Low,Medium,Low,High,Low,High,High
255,109,6,3,5,6,1,6,6,10,High,Medium,Low,Medium,Medium,Low,Medium,Medium,High
256,795,6,9,8,4,2,6,10,6,High,Medium,High,High,Low,Low,Medium,High,Medium
257,760,9,4,4,3,8,5,10,1,High,High,Low,Low,Low,High,Medium,High,Low
258,536,10,10,4,7,8,7,6,2,High,High,High,Low,Medium,High,Medium,Medium,Low
259,888,6,6,5,2,3,6,6,3,High,Medium,Medium,Medium,Low,Low,Medium,Medium,Low
260,719,10,10,8,7,6,10,6,4,High,High,High,High,Medium,Medium,High,Medium,Low
261,654,6,4,4,9,5,8,8,2,High,Medium,Low,Low,High,Medium,High,High,Low
262,947,7,3,8,1,5,9,7,2,High,Medium,Low,High,Low,Medium,High,Medium,Low
263,403,5,7,6,6,5,6,4,6,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium
264,124,9,9,7,9,1,9,4,3,High,High,High,Medium,High,Low,High,Low,Low
265,548,9,8,6,7,1,2,7,6,High,High,High,Medium,Medium,Low,Low,Medium,Medium
266,880,7,3,6,3,5,3,3,10,High,Medium,Low,Medium,Low,Medium,Low,Low,High
267,939,10,10,7,4,1,2,3,9,High,High,High,Medium,Low,Low,Low,Low,High
268,166,6,10,4,4,4,8,4,6,High,Medium,High,Low,Low,Low,High,Low,Medium
269,885,5,6,7,7,2,2,5,7,High,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium
270,112,7,9,6,9,1,7,1,2,High,Medium,High,Medium,High,Low,Medium,Low,Low
271,811,8,8,8,6,1,4,9,1,High,High,High,High,Medium,Low,Low,High,Low
272,213,10,8,4,10,1,5,6,2,High,High,High,Low,High,Low,Medium,Medium,Low
273,375,10,4,4,1,3,4,7,9,High,High,Low,Low,Low,Low,Low,Medium,High
274,897,6,7,4,1,9,8,8,7,High,Medium,Medium,Low,Low,High,High,High,Medium
275,460,7,8,5,6,7,7,6,7,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium
276,416,6,2,5,8,9,6,3,7,High,Medium,Low,Medium,High,High,Medium,Low,Medium
277,571,8,9,7,3,1,8,9,7,High,High,High,Medium,Low,Low,High,High,Medium
278,744,8,5,7,3,10,4,6,7,High,High,Medium,Medium,Low,High,Low,Medium,Medium
279,378,9,8,7,2,4,7,2,6,High,High,High,Medium,Low,Low,Medium,Low,Medium
280,121,5,9,5,2,4,5,6,6,High,Medium,High,Medium,Low,Low,Medium,Medium,Medium
281,462,10,4,8,5,4,6,4,7,High,High,Low,High,Medium,Low,Medium,Low,Medium
282,777,8,6,4,6,4,7,10,1,High,High,Medium,Low,Medium,Low,Medium,High,Low
283,845,5,10,6,8,4,4,4,5,High,Medium,High,Medium,High,Low,Low,Low,Medium
284,533,6,10,5,7,2,5,10,10,High,Medium,High,Medium,Medium,Low,Medium,High,High
285,450,5,2,6,2,4,5,1,4,High,Medium,Low,Medium,Low,Low,Medium,Low,Low
286,717,6,2,4,6,6,2,6,9,High,Medium,Low,Low,Medium,Medium,Low,Medium,High
287,469,10,8,6,1,3,5,8,10,High,High,High,Medium,Low,Low,Medium,High,High
288,670,7,7,8,1,6,1,2,1,High,Medium,Medium,High,Low,Medium,Low,Low,Low
289,137,8,2,5,2,4,9,7,8,High,High,Low,Medium,Low,Low,High,Medium,High
290,801,10,7,4,3,6,1,10,4,High,High,Medium,Low,Low,Medium,Low,High,Low
291,315,5,10,5,10,8,4,8,4,High,Medium,High,Medium,High,High,Low,High,Low
